metric,value,unit
total_requests,2858,count
failed_requests,2858,count
success_rate,100.00,percent
avg_response_time,148.89,ms
min_response_time,134.60,ms
max_response_time,1056.72,ms
median_response_time,144.53,ms
p90_response_time,162.06,ms
p95_response_time,170.41,ms
p99_response_time,0.00,ms
throughput,13.55,req_per_sec
max_users,25,count
test_duration,210.94,seconds
avg_blocked_time,2.45,ms
avg_connecting_time,1.19,ms
avg_tls_handshake_time,1.24,ms
avg_sending_time,0.13,ms
avg_waiting_time,142.71,ms
avg_receiving_time,6.04,ms
